feature	757.38274	758.3665	770.41388	785.37645	836.42229	837.40628	840.45348	841.43773	842.49442	843.38039	852.41677	853.40066	854.39588	863.43221	868.44737	870.52451	886.4209	892.48262	898.49325	899.47705	902.43394	918.42802	945.41926	1045.54011	1079.54524	1088.51173	1095.53926	1099.52295	1105.54824	1106.5323	1111.55861	1115.51669	1116.46459	1117.5204	1122.52616	1125.50121	1127.55238	1137.53676	1154.55134	1161.54277	1162.52665	1172.60882	1173.53102	1176.60709	1177.53708	1178.52143	1182.58102	1183.57626	1184.46262	1192.60136	1192.64908	1198.58655	1199.5705	1201.55348	1202.53744	1208.64275	1223.57987	1228.55909	1239.61054	1240.6423	1241.62628	1244.55292	1248.51148	1249.49539	1264.50562	1267.64032	1274.56601	1287.59678	1307.58583	1328.61	1332.61593	1344.6037	1354.59689	1403.64451	1427.68367	1435.63722	1449.65167	1453.69769	1459.64666	1465.64514	1473.62511	1474.79094	1481.62637	1492.64325	1496.70377	1512.6978	1532.73102	1550.70371	1561.74454	1562.72849	1562.77596	1580.71274	1583.65417	1585.71708	1586.70107	1600.7527	1604.78309	1608.68168	1608.70478	1615.76264	1616.74665	1627.68418	1628.66827	1636.78271	1639.74471	1643.67779	1644.66186	1648.71956	1648.76969	1652.77597	1655.7395	1664.71299	1671.74738	1674.75124	1677.72005	1686.81477	1690.71569	1691.69992	1700.67314	1701.66853	1706.70946	1707.69352	1719.7776	1726.80015	1728.68997	1735.73366	1743.65898	1744.64285	1749.78527	1755.74022	1758.66717	1759.65143	1760.63504	1764.79465	1766.76298	1768.83064	1771.73528	1782.74874	1783.73296	1784.8226	1795.83916	1798.74389	1799.72799	1800.81743	1804.85899	1812.81585	1816.79304	1817.83131	1821.77602	1822.76026	1829.83012	1832.78658	1841.82874	1845.82381	1848.78107	1854.76897	1857.8233	1863.8084	1888.84039	1892.84328	1919.83401	1922.85153	1933.89018	1935.82615	1958.88493	1975.90872	1976.8568	1991.90415	1996.9198	1997.89012	2003.89016	2007.84755	2013.85691	2013.95716	2015.85297	2019.8839	2020.86894	2029.95316	2039.86133	2040.84686	2041.87726	2055.99998	2056.88573	2057.86988	2065.87262	2067.84012	2069.95526	2071.99624	2072.91853	2073.8665	2077.98307	2078.86866	2079.85176	2088.91035	2089.89415	2090.87852	2094.82959	2094.89645	2104.90338	2105.88711	2110.89087	2118.80478	2121.88292	2122.8672	2131.0156	2133.88484	2145.02805	2148.9289	2152.99421	2159.89284	2161.02352	2167.00965	2168.95629	2187.9224	2198.86593	2203.91383	2210.99669	2214.86075	2215.94979	2219.90964	2220.84786	2225.89723	2231.9456	2232.97976	2235.90315	2237.93157	2239.94936	2253.8933	2255.94007	2261.01742	2271.93461	2274.90888	2282.99958	2299.93956	2301.01202	2307.02042	2315.93124	2323.01195	2337.90972	2338.01053	2347.96542	2363.96111	2383.8272	2404.05549	2410.00908	2410.99336	2420.05094	2439.09804	2447.076	2455.09034	2465.08446	2471.08176	2481.07492	2487.07242	2493.95171	2497.06802	2509.94668	2513.06321	2519.05055	2535.04584	2548.06423	2549.04896	2549.08363	2570.04172	2571.09702	2582.07179	2589.10791	2594.02091	2689.09941	2705.0899	2706.07352	2719.06808	2720.05124	2727.07252	2781.16345	2792.15485	2793.16058	2809.15174	2853.22872	2869.22314	2875.21076	2880.20234	2885.21878	2978.10732	2988.10852	3000.28848	3001.16606	3017.15614	3033.28282	3084.20226	3086.16813	3100.19769	3102.16447	3105.27816	3116.19264	3118.15886	3122.17944	3141.27076	3151.29077	3167.257	3183.2491	3186.19509	3200.28268	3216.2732	3227.28849	3228.12341	3243.27653	3244.11249	3399.34809
B1-1	0	323421	0	429004	0	0	0	0	973696	0	2159488	0	1319124	0	1787061	386498	1256804	0	2275175	0	446381	199635	626768	0	384622	645424	1462181	464042	1521279	0	267337	1078866	1160491	0	0	387537	232585	0	0	360635	0	0	0	0	437170	0	858038	0	598842	316438	296861	0	0	0	0	2347585	0	146007	0	178304	0	0	923112	0	813255	2016608	0	306766	0	0	898447	217754	0	0	2124854	4835824	0	0	6048498	0	2464905	282063	209958	345785	0	330021	1869287	0	0	1883311	2678968	4087629	0	2029346	6843129	0	0	0	0	1322329	0	0	2021988	264018	0	0	2870288	0	8535346	0	12996901	538054	0	1622243	422176	400257	1904333	0	0	478542	0	0	1052897	0	200753	247424	2315282	0	0	0	726018	1586392	0	0	0	0	0	860280	3019000	0	0	1839391	5464190	0	643649	3653234	2567158	0	1502821	3222001	0	7403309	0	816250	3403418	0	0	0	266050	0	0	2966376	0	0	727104	27871766	0	0	0	0	0	401847	362674	0	0	13364742	0	0	0	839712	0	3440995	30309140	0	326262	0	0	1269431	5987080	0	0	0	0	10039008	0	0	265945	0	2501968	0	381896	0	0	0	14571364	602055	0	0	602062	0	0	0	349059	0	6045593	240641	940133	4091144	11614130	0	309964	0	1409909	0	0	382267	0	0	0	2036072	0	0	317948	428644	0	858818	1420870	238478	209122	0	341072	524842	348882	0	1410194	0	427060	0	436546	0	0	645685	592610	3020961	0	3031902	0	3138006	0	0	1263552	0	601272	239935	0	0	184166	0	0	7573757	0	1467338	0	422615	2650789	831497	0	0	5014966	1260260	0	537962	0	0	405655	0	650246	2974940	2078646	562417	0	3222481	0	427970	2116377	0	0	191718	0	227148	996665	0	0	0	1349555	0	209601	0	312831
B2-1	0	0	0	292545	881356	0	553538	0	0	0	0	0	0	0	0	287675	0	177831	0	0	0	285095	355434	0	0	443086	1363286	0	2743733	0	0	0	403694	0	0	256458	0	0	0	0	0	0	0	0	0	0	634580	0	214141	0	0	0	0	204388	0	1329256	0	0	0	0	0	0	284799	0	0	794282	0	197430	0	236697	359163	0	0	0	0	1560909	231692	0	2157259	150284	893714	0	399899	0	0	0	492290	0	0	847559	0	1118564	0	0	0	0	0	300029	0	0	0	0	0	0	0	0	256035	0	2016022	0	2798665	0	0	245281	0	0	390566	0	0	0	1094015	0	157232	0	0	0	510749	0	0	0	0	413167	0	0	0	0	0	0	388850	0	0	0	924771	210225	0	959870	536553	0	356876	556250	215483	1497814	0	243644	0	0	0	143743	0	0	0	377090	0	0	0	5702448	0	0	0	0	0	164876	0	0	0	3771333	0	0	0	0	792330	1561794	5466253	0	0	0	0	0	1387317	0	281586	979489	0	2305928	0	0	0	276597	720682	0	401204	818347	0	0	7464297	0	525807	0	1183928	0	0	0	279546	0	1572914	0	1701684	1061893	3430650	0	327739	0	772661	0	0	558917	0	0	0	737591	0	0	544660	0	0	435677	382516	0	252868	0	0	0	0	0	409255	0	0	0	0	0	0	0	0	719154	0	935349	0	1061365	218633	0	433241	0	0	223587	0	0	0	0	0	1891678	0	272073	0	0	687196	238050	0	0	1298897	352692	0	0	0	0	0	0	0	523121	1075657	0	0	936542	0	0	662259	0	172201	0	0	0	205037	0	0	0	317083	0	0	0	194885
B3-1	0	721391	0	0	0	0	185297	0	0	0	2498946	0	1200794	0	2342067	456003	1723538	0	2242170	0	579304	0	1210615	539787	189657	613866	4899033	0	577586	0	158182	963632	2118380	1042738	0	0	804907	0	0	202772	0	0	0	0	275847	0	754626	0	769806	313185	202418	0	0	253949	0	1252383	0	0	0	0	0	353158	1122342	0	1233731	1443350	0	0	0	247529	414444	0	535486	0	0	3263276	0	0	4379858	292754	1959552	0	0	223584	0	0	0	0	0	0	1525223	2545252	0	0	4023327	0	0	1178736	0	531366	0	0	0	189690	0	0	1346802	0	3769073	0	11668429	0	0	998902	2531006	257010	0	0	0	457696	2882234	0	0	427922	876107	186234	1383257	0	0	0	0	1223737	0	0	0	0	0	0	1550495	0	0	956774	2831317	282302	402043	1762042	842629	0	0	1730752	371628	2423856	0	602363	1452096	1028734	0	224167	240486	0	0	1520360	0	0	365006	15451267	0	0	0	4506190	0	310156	781201	0	0	7655109	0	0	405333	0	2655364	2666817	13908753	0	0	0	0	1107008	2419465	0	794917	3549621	0	4112797	0	0	731496	635754	1423344	0	1246151	411658	0	0	7432141	0	399790	0	2101396	0	0	0	317416	0	3281822	396902	835843	2353698	6238382	0	1159237	0	1299714	620032	0	1541343	0	0	0	554322	0	0	1046556	0	0	294922	669313	0	847614	0	0	0	0	0	741477	0	295538	0	0	0	0	287405	235176	1143685	0	1321946	0	1421609	370376	476815	454289	0	0	499357	0	0	0	0	198855	1778127	0	514177	0	0	1198970	453572	0	0	1984025	535710	622347	0	0	0	0	0	0	790957	1052400	0	0	848794	0	0	589165	0	303465	0	0	0	380477	0	0	0	455414	0	0	0	0
B4-1	0	655032	0	911229	3361441	0	0	0	1256653	0	3746305	0	2241496	0	3165955	320788	0	0	3446862	0	930153	0	0	470514	393948	891040	10040700	732872	1348264	0	280541	1900089	1818194	0	0	468103	318287	0	0	431983	0	0	138766	0	0	0	975364	0	985708	582771	0	0	0	507088	0	2047624	206577	0	0	0	0	552006	1820064	0	1912052	2396777	0	0	0	563099	1120557	311081	226454	0	2340709	8013395	0	0	10476952	0	4306173	372565	0	665021	307545	332647	2262002	0	0	1880216	3544888	5247005	0	2613222	8636243	0	0	0	0	1427429	0	0	1931020	497972	0	1811811	3049669	0	8143940	0	19662874	722611	0	1854947	782973	419056	1920626	0	0	805498	5512548	0	1519146	740744	261259	0	2870946	0	0	0	896339	1944787	0	0	0	0	0	797828	2713423	0	0	1385425	4351242	0	493013	3371517	1592447	0	1451276	3386549	692004	4913103	0	962880	2207202	360302	0	369233	0	0	0	2585273	0	0	511747	23229140	0	0	3266940	1867631	0	586917	0	0	0	12593629	0	0	532862	0	1016813	2876154	23461164	0	0	0	0	1139777	4027555	0	0	1423997	0	7764913	0	0	192917	0	2265593	0	521120	0	0	0	9796386	424569	0	0	694089	0	0	0	188523	0	6710768	267999	516832	3290034	9374495	0	455574	0	1489920	0	0	568822	0	0	0	1194300	0	0	0	382700	0	609920	1038535	192874	311208	0	328481	484481	293295	0	990827	0	329079	0	274800	0	0	504108	630910	2363138	0	2818838	0	3283357	249431	296711	1033637	0	0	342572	0	0	0	220665	491467	5808820	0	1300935	0	575215	2309667	821132	0	0	4421410	1054263	411497	638300	0	0	361678	0	468101	2542668	1525758	455110	0	2354774	0	211570	1203862	0	255339	0	0	269835	1057040	0	0	0	973374	0	191260	0	274705
B5-1	0	0	0	0	0	0	453222	0	0	0	0	0	509891	0	721881	0	334012	0	1300801	0	272093	179278	274909	176726	419485	308115	10607235	487182	844456	0	0	915330	0	0	0	254756	0	0	0	223169	0	0	0	0	154378	0	932518	0	448000	0	0	0	0	310364	0	3326695	293653	0	0	295623	0	459428	913851	0	772240	1667323	0	177981	0	193738	0	0	0	0	2790816	4669301	0	0	5496515	0	2136437	352471	0	0	225163	0	1729806	0	1146876	1211015	1882358	2556945	0	0	3719790	0	0	0	0	982392	0	0	0	395825	0	0	1738303	0	4952771	0	8725505	179833	0	884867	0	0	912518	0	0	236848	2718166	0	1311788	418902	0	280962	1664527	0	0	0	0	1011460	0	0	0	0	0	924845	3242218	0	0	1200966	4447007	0	618901	1114785	2213793	0	882749	1975372	257415	5114648	0	371033	2388899	0	0	206385	273374	0	0	3460770	390654	0	1160563	30596082	0	0	0	0	0	486916	0	0	0	14114462	0	0	1409908	0	0	4539225	41996552	0	454518	0	0	2067277	5410185	0	0	0	0	8938714	0	0	1753947	0	2118610	0	0	373478	0	0	19840448	357362	0	0	310102	0	0	0	672806	0	6897686	0	400248	3085809	18615244	0	0	0	2364804	608357	0	286962	0	419372	0	1730981	0	0	210227	387310	0	576339	1065657	145390	0	0	422215	0	344257	391166	2276609	0	687661	0	0	0	0	1256128	1169387	5853581	0	5424994	1705753	5776250	0	0	1047220	0	1024988	0	0	0	225281	0	1199561	12968860	0	2188734	0	251365	5757234	1452179	0	0	7277166	1624573	0	0	0	0	486264	0	566800	2898100	2947310	1070208	0	5612459	0	337337	2553272	0	0	427488	0	626457	2004928	0	0	0	2111440	0	297287	0	1618978
B6-1	0	0	0	286832	216678	0	631439	0	312830	0	946143	0	649880	0	839786	0	508736	269006	1298313	0	282884	0	428685	293540	0	500863	10553692	503228	1090891	0	0	945340	761932	0	0	0	242799	0	0	438625	0	0	187656	0	321058	0	976620	0	554390	351717	432311	0	0	439907	0	638488	369558	0	0	425374	0	547291	886348	0	728260	2127366	0	267556	0	355254	0	251206	0	0	3511700	4693156	0	0	5945609	0	2260721	513667	147118	250294	272272	298275	1718869	0	1374577	1705109	2328974	2699533	0	1508754	4508608	0	0	0	0	1192758	0	0	1301810	438587	0	1088554	2146500	0	6266209	0	8535661	0	0	1377404	0	0	959361	0	0	297120	3326972	0	1514377	463081	0	316710	1537107	0	0	0	0	1206981	0	0	0	0	0	0	2900795	0	0	1634454	5412460	0	591734	2182869	2338492	0	1083046	2191834	456197	6024388	0	0	3122004	210133	0	0	0	0	0	3724360	0	0	0	36116972	0	753642	0	0	0	0	1727491	0	0	13290236	0	0	1128143	0	0	4141979	37432856	0	485500	0	0	2099443	5112903	0	298183	1627007	0	8676533	0	0	1711367	0	2465721	0	0	0	0	0	23760154	363764	0	0	1074474	0	0	0	1449567	0	6075934	244144	939797	3766303	15884869	0	0	0	2379120	702849	0	718936	0	718762	0	1969975	0	0	480342	438364	0	818369	1232774	272390	203381	0	435583	796870	298240	384644	2355385	0	0	0	394882	0	0	1383332	1129434	6426606	1316782	4604440	0	4914609	0	0	1364331	0	946637	280408	0	1310739	204807	457438	1003854	10800657	0	1826527	0	587073	4592209	1244182	0	0	6550141	1522200	425518	735235	0	0	376652	0	500133	2702316	2728090	744138	0	5053726	0	394684	2853382	0	188016	421310	0	484757	1406586	0	0	0	1990335	0	347057	0	1196718
B1-2	0	329313	0	371738	0	0	0	0	633568	0	1715906	0	0	0	0	299807	0	0	0	0	0	344092	815840	0	382483	768989	7584410	0	8019843	0	267286	1031162	1031226	0	0	433071	0	0	0	535676	0	0	171145	0	431427	0	919038	0	678702	400617	0	0	0	650162	0	2483821	167067	0	0	0	0	0	932759	0	974646	2318702	0	381523	0	526433	0	0	0	0	2217634	5319921	0	0	6622470	0	2372958	0	0	387542	0	298414	1790769	0	1246083	1646580	2460759	3345346	0	1738294	5949525	0	0	0	0	1058815	0	812256	1315309	287529	0	1244662	2096948	0	6192183	0	0	325383	0	1128880	0	247679	1370501	0	0	380309	4044584	0	675855	455574	197276	186714	1751903	0	0	0	0	1403945	0	0	0	0	0	601630	2047293	0	0	1155204	3869399	0	0	2652962	2120471	0	1116295	2773438	640707	5080345	0	704665	2500443	0	0	277179	0	0	0	2133495	0	0	0	18427254	0	0	2122598	0	0	0	0	0	0	10100907	0	0	0	850263	0	3188649	24221322	0	0	0	0	1257346	5030227	0	0	935584	0	8560381	0	0	443024	265655	2445458	0	481823	0	0	0	11891828	495197	0	0	0	0	0	0	402161	0	5960459	231117	921618	4147056	11854679	0	391517	0	1710022	0	0	431058	0	0	0	1602752	0	0	458912	509346	0	951087	1471956	298570	0	0	318133	572799	439087	0	1307174	0	470699	0	458058	0	0	678104	804396	3144699	866846	2952854	1102949	3612605	0	0	1627388	0	0	416165	0	1090861	274420	275493	635736	6400134	0	1208316	0	344470	2677662	882297	0	0	3181651	832218	0	0	0	0	0	0	481747	2203866	1356561	0	0	2724931	0	315613	1667441	0	206516	223379	0	0	814008	0	0	0	1082499	0	0	0	683878
B2-2	0	0	0	0	0	0	844960	0	0	0	0	0	638152	0	1111942	411066	0	248888	1467900	0	244994	0	0	422715	0	460085	1931464	0	3273127	0	0	0	367109	212137	0	0	461510	0	0	232448	0	0	0	0	326549	0	814665	0	0	196623	289203	0	0	293242	0	1473514	0	0	0	0	0	0	0	0	264888	993567	0	0	0	412192	494933	0	296357	0	1482211	1763243	213584	0	2769583	242573	1099044	0	0	0	0	0	0	0	1274020	0	1536766	1809693	0	0	2688734	0	0	466973	0	833840	0	0	0	0	0	0	0	0	3625014	0	5106395	0	0	469320	865738	0	0	0	0	0	1881988	0	332958	448786	357968	0	0	0	0	0	451681	611360	0	0	0	0	0	0	0	0	0	0	1559476	275007	0	1704656	984168	0	0	880399	391621	2874728	0	385955	1563539	541353	0	0	0	0	0	0	0	0	0	9205019	0	243173	0	1634772	0	279576	363134	0	0	6327877	0	0	0	0	1304523	1502952	9278033	0	0	0	0	595371	2184364	0	209955	1477217	0	3858612	0	0	421967	399157	1019506	0	0	1262260	0	0	9986189	298121	731859	0	1765907	0	0	0	515141	0	2128844	383444	1519583	1576984	5449324	0	478770	0	1213812	494214	0	879943	0	185717	0	926273	0	0	837723	0	0	545066	448087	181687	0	0	0	0	0	0	540072	0	0	0	0	0	0	0	318242	935711	0	1206835	299949	1524308	230858	280883	508292	0	0	314166	0	322988	0	0	242164	2723798	0	0	0	577867	1072655	462544	0	0	2027723	642473	399531	0	0	0	0	0	0	847774	1493332	0	0	1331279	0	0	943832	0	228261	0	0	0	404400	0	0	0	622256	0	0	0	255537
B3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2259482	498430	0	284439	2365292	0	0	0	1337133	501591	0	471220	0	398418	3018673	0	0	811432	2045484	813229	0	374825	677102	0	0	0	0	0	137711	0	277191	0	732937	0	608272	287763	185224	0	0	218157	0	1269944	0	0	0	0	0	242462	1102064	0	1056044	1316138	0	213751	0	195617	367592	0	542265	0	0	3168021	0	0	4600897	379360	0	0	1370853	0	0	0	0	0	935220	0	1595783	2494690	0	1506743	3831836	0	0	992786	0	614574	0	0	0	0	0	810729	1192222	0	3691466	0	10644324	0	0	0	2363305	184565	0	0	0	503687	2394156	0	679505	540932	0	0	0	0	0	0	650380	0	0	0	0	0	0	0	1718460	0	0	1091918	2734925	263153	499478	1521535	903574	0	875642	1629989	345738	3084261	0	532861	1281814	1032526	0	0	269238	0	0	1668414	0	0	474081	19357362	0	426403	0	5157223	0	358160	0	0	0	7710761	0	0	426169	0	2639583	3527826	14624002	0	0	0	0	1359286	1990983	0	883002	3445627	0	3474049	0	0	883797	504352	1131138	362671	1147134	0	0	0	8115395	0	0	0	2205995	0	0	0	481296	0	2742498	283240	927720	1960763	5845852	0	954599	0	1028559	0	0	1359569	0	0	0	562713	0	0	872721	0	0	318272	484420	0	639456	0	0	0	0	0	679337	0	292450	0	0	0	0	275187	281714	1239385	314524	1128123	0	1255140	429540	467609	0	0	0	424409	0	238205	0	0	215218	2129365	0	514362	0	883826	1359214	532401	0	0	2571435	678980	873986	0	0	0	0	0	0	811761	1258116	0	0	1037380	0	0	573929	0	325895	0	0	0	371829	0	0	0	425229	0	0	0	266156
