",""auroch(9).s1"",""auroch(9).s2"",""auroch(9).s3"",""aurochs T"",""C1-1"",""C1-2"",""C101_aurochs"",""C102_aurochs"",""C2-1"",""C2-2"",""C3-1"",""C3-2"",""C4-1"",""C4-2"",""C5-1"",""C5-2"",""C6-1"",""C6-2"",""C91_aurochs"",""C92_aurochs"",""Wa12_aurochs"",""Wa5_aurochs"",""B1-1"",""B1-2"",""B2-1"",""B2-2"",""B3-1"",""B3-2"",""B4-1"",""B4-2"",""B5-1"",""B5-2"",""B6-1"",""B6-2"",""boeuf romain"",""boeuf_crane_act6.s1"",""boeuf_crane_act6.s2"",""boeuf_crane_act6.s3"",""boeuf_etui_corne_corne_act9.s1"",""boeuf_etui_corne_corne_act9.s2"",""boeuf_etui_corne_corne_act9.s3"",""boeuf_etui_corne_sabot_act3.s1"",""boeuf_etui_corne_sabot_act3.s2"",""boeuf_etui_corne_sabot_act3.s3"",""boeuf-tourcoing-01205"",""boeuf-waziers-2280"",""boeuf-waziers-2367"",""boeuf.s1"",""boeuf.s2"",""boeuf.s3"",""boeuf(2).s1"",""boeuf(2).s2"",""boeuf(2).s3"",""boeuf(8).s1"",""boeuf(8).s2"",""boeuf(8).s3"",""boeuf1"",""boeuf2"",""boeuf2.s1"",""boeuf2.s2"",""boeuf2.s3"",""boeuf257"""
"1892.84328,NA,NA,NA,NA,""454137"",""596836"",NA,NA,""2227459"",""2068114"",""2915078"",""3048985"",""2017315"",""1229494"",""3469203"",""3152934"",""2486486"",""2989512"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1922.93345,""4445241"",""3566380"",""4059496"",""976901"",NA,NA,""4486906"",""2005691"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""424892"",NA,""13042455"",""4127564"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""5874034"",""8622642"",""8718079"",""8625373"",NA,NA,NA,NA,NA,NA,""6620301"",""18972910"",NA,""6276946"",""5198869"",""3274819"",""1684453"",""789064"",NA,""6804551"",""7160978"",""6136026"",""1634348"",""3160064"",""12272058"",""10102903"",""11422487"",""4187355"""
"1975.90872,NA,NA,NA,NA,""6440759"",""6787817"",NA,NA,""14988426"",""14521942"",""26009480"",""28083398"",""15896803"",""9376874"",""36413628"",""37835136"",""20385154"",""24478290"",NA,NA,NA,NA,""27871766"",""18427254"",""5702448"",""9205019"",""15451267"",""19357362"",""23229140"",""24262654"",""30596082"",""36946980"",""36116972"",""15871343"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1975.99499,""21806706"",""17830170"",""20586040"",""5056914"",NA,NA,""36803944"",""20580200"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""9105364"",NA,""51418852"",""37644248"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""52961332"",""74756544"",""71333512"",""72741552"",NA,NA,NA,NA,NA,NA,""56931988"",""128202536"",""518150"",""40305308"",""32955922"",""20904270"",""14034098"",""7144657"",""12441880"",""62631272"",""69807576"",""53875852"",""22259282"",""29423710"",""94772488"",""82052864"",""87861752"",""28941754"""
"2013.95716,""462551"",NA,NA,NA,""981294"",""1185842"",NA,NA,""3001574"",""2786597"",""4592759"",""4900208"",""2590858"",""1639138"",""6258223"",""7418292"",""2909380"",""3734534"",NA,NA,""1054354"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""788782"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2014.07219,""378227"",""490487"",""436456"",""511155"",NA,NA,""1677570"",""1292440"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""311679"",NA,""1095890"",""512258"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1664062"",""445399"",""453027"",""473549"",NA,NA,NA,""2454196"",""2205281"",""1881728"",""628281"",""384655"",NA,""703732"",""667501"",""567536"",""511831"",NA,""501498"",""999365"",""959146"",""1087521"",""807858"",""1071893"",""635028"",""549256"",""564370"",""551965"""
"2019.8839,NA,NA,NA,NA,""2342471"",""2163159"",NA,NA,""2859393"",""3245037"",""5456666"",""5949875"",""4504458"",""2645266"",""6383778"",""6323904"",""4464851"",""4656553"",NA,NA,NA,NA,""13364742"",""10100907"",""3771333"",""6327877"",""7655109"",""7710761"",""12593629"",""12376212"",""14114462"",""16673744"",""13290236"",""6064018"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2029.95316,NA,NA,NA,NA,""642448"",""583222"",NA,NA,""1954757"",""1976344"",""3174006"",""3379823"",""1880961"",""1008127"",""3776721"",""4185532"",""1816213"",""2336934"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2039.9551,""1038222"",""898339"",""1304397"",""444267"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1841292"",""2392846"",""2707450"",""2230145"",NA,NA,NA,NA,NA,NA,""2818752"",""2307317"",NA,""3069296"",""2322024"",""1859862"",""962400"",""419927"",""753183"",""2575135"",""2815685"",""2540630"",""1873392"",""2615320"",""3454334"",""3345625"",""3856377"",""897710"""
"2041.87726,NA,NA,NA,NA,""732906"",NA,NA,NA,""1452297"",""1558894"",""2621938"",""2509833"",""1146913"",""724176"",""2282073"",""2448065"",""1311204"",""1424911"",NA,NA,NA,NA,NA,NA,""792330"",""1304523"",""2655364"",""2639583"",""1016813"",""846460"",NA,NA,NA,""552099"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2056.09262,""21200984"",""16574814"",""19066796"",""9621642"",NA,NA,""53491072"",""33039572"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""11194449"",NA,""34659044"",""32064836"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""46800120"",""39747268"",""38306332"",""40533836"",NA,NA,NA,NA,NA,NA,""33903360"",""37512720"",NA,""43088392"",""34567536"",""23301314"",""9980475"",""6574840"",""9097252"",""41898472"",""45967600"",""37442744"",""22608924"",""30558504"",""56025380"",""43455512"",""51604728"",""34913140"""
"2056.97892,""17672130"",""12980755"",""16571207"",""2016698"",NA,NA,""2007446"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""12784997"",""73461704"",""73034024"",""76145128"",NA,NA,NA,NA,NA,NA,""46172440"",""85813664"",NA,""60038676"",""43911676"",""25636820"",""5605190"",""3004786"",""4980471"",""31214668"",""34528928"",""27843632"",""14410507"",""24337462"",""117542032"",""93403376"",""108231736"",""14006556"""
"2057.86988,NA,NA,NA,NA,""10736719"",""10624545"",NA,NA,""23963474"",""21796982"",""35920048"",""38455152"",""18090934"",""10364708"",""32192008"",""31137044"",""21016768"",""21771000"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2069.95526,NA,NA,NA,NA,NA,""359644"",NA,NA,""5124215"",""4872328"",""4572396"",""4409312"",""3092826"",""2153902"",""6621738"",""7642213"",""7721714"",""9264828"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2072.09109,""13507872"",""11369328"",""12199571"",""2485005"",NA,NA,""15182921"",""11076779"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1888695"",NA,""18775608"",""9887122"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""16041024"",""16372290"",""15187528"",""16198038"",NA,NA,NA,NA,NA,NA,""9608454"",""18788986"",NA,""11759543"",""10401950"",""6786190"",""8080597"",""3670545"",""6764502"",""17738280"",""20167794"",""15231830"",""3787880"",""6026993"",""17695890"",""13024428"",""16974712"",""8337322"""
"2089.00724,""7285934"",""5359467"",""6954420"",""212542"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2299486"",""22395512"",""21174988"",""22470950"",NA,NA,NA,NA,NA,NA,""6693100"",""17208276"",NA,""9016547"",""7236174"",""4226766"",""700527"",NA,""639764"",""5661685"",""6050523"",""4435041"",""2313329"",""1620316"",""18316392"",""16261229"",""17595080"",""1358807"""
"2105.88711,NA,NA,NA,NA,""4256412"",""3933932"",NA,NA,""5758208"",""5846429"",""9039911"",""9113401"",""6709144"",""3857202"",""7436612"",""6678505"",""6134132"",""5680616"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""362671"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2131.11626,""18196224"",""14327034"",""16740382"",""1882721"",NA,NA,""15319384"",""7698386"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""4348531"",NA,""65022064"",""26156130"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""10876514"",""26588964"",""25281638"",""26483432"",NA,NA,NA,NA,NA,NA,""22717358"",NA,NA,""29764180"",""24822650"",""15374916"",""6005571"",""2335924"",""5284501"",""26573308"",""30107074"",""21998998"",""6027816"",""8495995"",""43577168"",""38230056"",""41093820"",""5625060"""
"2145.02805,NA,NA,NA,NA,""6577262"",""6334593"",NA,NA,""7436384"",""7824945"",""14571464"",""15085162"",""8600816"",""5215798"",""15225755"",""16725828"",""6478897"",""7922741"",NA,NA,NA,NA,NA,NA,""525807"",""731859"",""399790"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2167.00965,NA,NA,NA,NA,""1545932"",""1660202"",NA,NA,""584745"",""656069"",""639805"",""526314"",""513461"",""353544"",""375371"",""440839"",""241856"",""230675"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2187.9224,NA,NA,NA,NA,""1724338"",""1394066"",NA,NA,""2409774"",""2926095"",""3481406"",""3594989"",""2602024"",""1611615"",""3540779"",""3136546"",""2089934"",""2309448"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2203.91383,NA,NA,NA,NA,""10481052"",""8521826"",NA,NA,""16803208"",""18375052"",""24766426"",""25076780"",""14686343"",""9043421"",""21463580"",""19788556"",""14104044"",""14068769"",NA,NA,NA,NA,""240641"",""231117"",NA,""383444"",""396902"",""283240"",""267999"",""273625"",NA,NA,""244144"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2216.05962,""22388998"",""16558089"",""22113114"",""1226444"",NA,NA,""7667243"",""3023233"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""104661536"",""6616347"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""15395385"",""51650988"",""51033892"",""51889028"",NA,NA,NA,NA,NA,NA,""20684956"",""62859648"",""612608"",""17382408"",""12737170"",""6993968"",""1331841"",""706379"",""1398050"",""19495132"",""19976766"",""17118462"",""4669904"",""2308641"",""41429552"",""35802820"",""38560596"",""6224455"""
"2219.90964,NA,NA,NA,NA,""643990"",""485353"",NA,NA,""933950"",""957119"",""1154143"",""1123398"",""777368"",""440916"",""798914"",""800239"",""602864"",""627932"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2225.89723,NA,NA,NA,NA,""2323315"",""2189455"",NA,NA,""981892"",""950445"",""583185"",""657881"",""490202"",""463165"",""390995"",NA,""418236"",""443001"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2232.05723,""1830091"",""1434623"",""1630453"",""350726"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""8118928"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2512573"",""5084446"",""4862820"",""5033648"",NA,NA,NA,NA,NA,NA,""2852394"",""14402327"",""279214"",""3884251"",""3134319"",""1776375"",""919353"",""321857"",""871530"",""4558249"",""4563638"",""3923258"",""1628755"",""2778300"",""8381832"",""7113838"",""8284094"",""1169297"""
"2255.94007,NA,NA,NA,NA,""781440"",""729473"",NA,NA,""1612968"",""1592655"",""2393437"",""2358884"",""2103965"",""1224343"",""2676394"",""2183398"",""1917732"",""1877906"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2363.96111,NA,NA,NA,NA,NA,""200083"",NA,NA,""1526924"",""1503317"",""1583335"",""1395543"",""1350406"",""780865"",""1768693"",""1627297"",""2632400"",""2875693"",NA,NA,NA,NA,""524842"",""572799"",NA,NA,NA,NA,""484481"",""477821"",NA,""668627"",""796870"",""430791"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2410.99336,NA,NA,NA,NA,NA,""215304"",NA,NA,""376262"",""392740"",""796492"",""716674"",""592257"",""400177"",""767890"",""633861"",""464375"",""560847"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2420.05104,NA,NA,NA,NA,NA,NA,NA,NA,""304285"",""242143"",""380842"",""458041"",""319898"",""244817"",""385469"",""359709"",""274362"",""267732"",NA,""240766"",NA,NA,""427060"",""470699"",NA,NA,""295538"",""292450"",""329079"",""369524"",""687661"",""560400"",NA,""306136"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2455.09034,NA,NA,NA,NA,""1733650"",""1101311"",NA,NA,""3684148"",""4238660"",""5698065"",""5292970"",""3120230"",""2114541"",""5197659"",""5110208"",""2242422"",""2729662"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2471.08176,NA,NA,NA,NA,""680781"",""378470"",NA,NA,""1579103"",""1417437"",""2083427"",""1838656"",""1045744"",""685902"",""1755110"",""1482091"",""845158"",""958577"",NA,NA,NA,NA,""645685"",""678104"",NA,NA,""287405"",""275187"",""504108"",""429011"",""1256128"",""1101603"",""1383332"",""537949"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2481.07492,NA,NA,NA,NA,""664006"",""461721"",NA,NA,""709134"",""733986"",""1173608"",""1296969"",""828080"",""616542"",""1284945"",""1265634"",""620289"",""772336"",NA,NA,NA,NA,""592610"",""804396"",NA,""318242"",""235176"",""281714"",""630910"",""675409"",""1169387"",""1319864"",""1129434"",""515342"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2481.21136,""1012092"",""736937"",""883434"",NA,NA,NA,""1860082"",""615077"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""294740"",NA,""2538993"",""740424"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""863121"",""2960207"",""2981493"",""2871718"",""821047"",""581506"",NA,NA,NA,NA,NA,NA,NA,""2903566"",""2358144"",""1617888"",""383017"",NA,""329660"",""4696030"",""4670307"",""3950252"",""1035715"",""1479118"",""5656482"",""4992318"",""5309194"",""842605"""
"2487.20946,""2193536"",""1592602"",""2122350"",NA,NA,NA,""1414323"",""798253"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""631668"",NA,""10361321"",""6544987"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1466808"",""3768433"",""4021185"",""3822502"",NA,NA,NA,""1605126"",""1609426"",""1148036"",""3176862"",""16620967"",NA,""3060274"",""2684107"",""1832266"",""671663"",""356546"",""625194"",""3333812"",""3686912"",""2770911"",""761149"",""1388153"",""7800838"",""7604362"",""7661631"",""1667831"""
"2497.06802,NA,NA,NA,NA,""1302298"",""816578"",NA,NA,""1182824"",""1185467"",""1940715"",""1930032"",""1254037"",""846254"",""2315431"",""2130082"",""1154986"",""1214268"",NA,NA,NA,NA,""3031902"",""2952854"",""935349"",""1206835"",""1321946"",""1128123"",""2818838"",""2806090"",""5424994"",""5398090"",""4604440"",""2171644"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2497.2067,""3342128"",""2793325"",""3277436"",NA,NA,NA,""2450159"",""794159"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""571748"",NA,""11188828"",""1999728"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3591005"",""10506646"",""10227793"",""10066571"",""807374"",""704786"",""1023755"",NA,NA,NA,""6301437"",""19774560"",NA,""6077637"",""5265318"",""3372593"",""880790"",NA,""844124"",""8299059"",""8581962"",""6425671"",""1896649"",""2684921"",""15248546"",""14021405"",""14567844"",""2511103"""
"2513.06321,NA,NA,NA,NA,""871454"",""449231"",NA,NA,""613566"",""719188"",""1106497"",""1027966"",""739324"",""615544"",""1003307"",""1155034"",""623139"",""659701"",NA,NA,NA,NA,""3138006"",""3612605"",""1061365"",""1524308"",""1421609"",""1255140"",""3283357"",""3286985"",""5776250"",""5622146"",""4914609"",""2240315"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2513.20408,""4110930"",""3389486"",""3929980"",""231594"",NA,NA,""1174990"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""169906"",NA,""13856832"",""1710950"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3895912"",""10242897"",""10202860"",""9823336"",NA,NA,""399058"",NA,NA,NA,""5339546"",""32175354"",NA,""4111072"",""3296835"",""2008439"",""1201676"",""414685"",""963255"",""6433720"",""6132606"",""5124684"",""1089196"",""2041821"",""10910194"",""9947983"",""10740374"",""2115015"""
"2571.09702,NA,NA,NA,NA,""1876857"",""1058342"",NA,NA,""1251374"",""1237597"",""2689566"",""2559052"",""1228767"",""912700"",""2405903"",""2217219"",""935049"",""1113323"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2689.25932,""993113"",NA,""841961"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2317327"",""5498214"",""4980962"",""5163647"",""1353171"",""1043420"",""1333961"",NA,NA,NA,""6567981"",""1767118"",NA,""7141994"",""6242912"",""4670968"",""2731735"",""1361019"",""2174537"",""7708570"",""7243328"",""6590402"",""5685830"",""5951428"",""8532306"",""7524353"",""8605184"",""2146991"""
"2719.2334,""9009292"",""7499432"",""8689798"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""6704508"",""33974916"",""30382708"",""31131708"",""966955"",NA,""807296"",NA,NA,NA,""20040276"",""30215632"",NA,""10469046"",""8462554"",""5382415"",""1522485"",""647369"",""1316646"",""12016541"",""11387723"",""8476843"",""3702962"",""3965661"",""21347772"",""18105358"",""21020644"",""5002617"""
"2792.32813,""10453786"",""8917393"",""9028065"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""11637129"",""38310388"",""33970132"",""33677596"",NA,NA,NA,NA,NA,NA,""17669350"",""11059940"",NA,""14969538"",""13079295"",""8807981"",""2100201"",""1085653"",""1737166"",""13954399"",""13718522"",""11466837"",""10460768"",""6044340"",""28755536"",""21164536"",""27414280"",""8618401"""
"2793.16058,NA,NA,NA,NA,""1099341"",""858419"",NA,NA,""2042836"",""1634377"",""3475115"",""3377806"",""1357042"",""829718"",""3412181"",""3264714"",""1686577"",""1927989"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2853.22872,NA,NA,NA,NA,""276564"",NA,NA,NA,""756233"",""504043"",""1211286"",""1497850"",""614700"",""457511"",""1359353"",""1683320"",""996207"",""1078216"",NA,NA,NA,NA,""5014966"",""3181651"",""1298897"",""2027723"",""1984025"",""2571435"",""4421410"",""5004638"",""7277166"",""7365273"",""6550141"",""2761593"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2853.40908,""25123046"",""20919466"",""22830974"",""1041905"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""31721468"",""11855744"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""13285991"",""53231416"",""49746164"",""49679720"",NA,NA,NA,NA,NA,NA,""56419228"",""35927464"",NA,""29016148"",""24813758"",""16515149"",""4494299"",""2343328"",""4100137"",""44517312"",""45127232"",""36303480"",""6021372"",""7581280"",""55753552"",""44970304"",""52997824"",""9209516"""
"2869.22314,NA,NA,NA,NA,""1105996"",""1133277"",NA,NA,""2332853"",""1662035"",""3923948"",""4686038"",""1922797"",""1356864"",""4483435"",""4790235"",""3061628"",""3493864"",NA,NA,NA,NA,""1260260"",""832218"",""352692"",""642473"",""535710"",""678980"",""1054263"",""1323523"",""1624573"",""1775677"",""1522200"",""761983"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"2869.40603,""3125152"",""2322747"",""2674497"",""194609"",NA,NA,""4340947"",""1503584"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""951781"",NA,""4343647"",""3606128"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2423806"",""5991115"",""5674384"",""5673523"",NA,NA,NA,NA,NA,NA,""8193347"",""10560305"",NA,""7020637"",""5742791"",""4113241"",""2253731"",""1118404"",""2193235"",""8133818"",""8122810"",""6564268"",""2068629"",""6502855"",""11810240"",""9385369"",""10991297"",""2249378"""
"2978.10732,NA,NA,NA,NA,NA,""510785"",NA,NA,""723347"",""732170"",""1084776"",""1301422"",""728581"",""427099"",""1232722"",""1227088"",""1059567"",""1055901"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"3033.48646,""8781455"",""7205719"",""7174984"",""1703302"",NA,NA,""1569846"",""1129665"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""6165626"",""2041243"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""5171878"",""16655672"",""15465011"",""16341315"",NA,NA,NA,NA,NA,NA,""21207166"",NA,NA,""10975515"",""9799081"",""7567118"",""6538140"",""4166581"",""5523676"",""8941067"",""9406339"",""7999663"",""18108316"",""11017684"",""20170024"",""15782736"",""19301248"",""6459886"""
"3052.40122,""952933"",""812936"",""940219"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3256160"",""4905354"",""4344660"",""4542591"",NA,NA,NA,NA,NA,NA,""3248126"",NA,NA,""3601154"",""3014003"",""2384127"",""1219595"",""647169"",""1152824"",""3819541"",""3759723"",""3460901"",""3239526"",""3631210"",""2937846"",""2403143"",""3390742"",""2438750"""
"3084.41471,""1217590"",""1162913"",""1221913"",""984498"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3509006"",NA,NA,NA,NA,""362934"",""523170"",NA,NA,NA,""5274355"",""1142814"",NA,""5100267"",""4698028"",""3239210"",""4975733"",""2647637"",""4228185"",""4761013"",""4776210"",""4216240"",""9703864"",""5407453"",""7771926"",""5249670"",""7394298"",""2159203"""
