",""auroch(9).s1"",""auroch(9).s2"",""auroch(9).s3"",""aurochs T"",""C1-1"",""C1-2"",""C101_aurochs"",""C102_aurochs"",""C2-1"",""C2-2"",""C3-1"",""C3-2"",""C4-1"",""C4-2"",""C5-1"",""C5-2"",""C6-1"",""C6-2"",""C91_aurochs"",""C92_aurochs"",""Wa12_aurochs"",""Wa5_aurochs"",""B1-1"",""B1-2"",""B2-1"",""B2-2"",""B3-1"",""B3-2"",""B4-1"",""B4-2"",""B5-1"",""B5-2"",""B6-1"",""B6-2"",""boeuf romain"",""boeuf_crane_act6.s1"",""boeuf_crane_act6.s2"",""boeuf_crane_act6.s3"",""boeuf_etui_corne_corne_act9.s1"",""boeuf_etui_corne_corne_act9.s2"",""boeuf_etui_corne_corne_act9.s3"",""boeuf_etui_corne_sabot_act3.s1"",""boeuf_etui_corne_sabot_act3.s2"",""boeuf_etui_corne_sabot_act3.s3"",""boeuf-tourcoing-01205"",""boeuf-waziers-2280"",""boeuf-waziers-2367"",""boeuf.s1"",""boeuf.s2"",""boeuf.s3"",""boeuf(2).s1"",""boeuf(2).s2"",""boeuf(2).s3"",""boeuf(8).s1"",""boeuf(8).s2"",""boeuf(8).s3"",""boeuf1"",""boeuf2"",""boeuf2.s1"",""boeuf2.s2"",""boeuf2.s3"",""boeuf257"""
"1267.67598,""1043558"",""801206"",""730757"",""213347"",NA,NA,""1207656"",""457459"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""613319"",""2993932"",""2103070"",""803442"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""606529"",""2669583"",""2623790"",""3099766"",NA,NA,NA,NA,NA,NA,""954314"",""3698552"",""1387602"",""1422201"",""1302167"",""764428"",""678219"",""300200"",""509535"",""1455215"",""1269278"",""1262958"",""819792"",""768991"",""2333470"",""2160063"",""2349763"",""623968"""
"1281.61938,""622968"",""433807"",""587964"",NA,NA,NA,""473314"",""201212"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1269464"",""140338"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1281782"",""1758460"",""1443171"",""1439444"",NA,NA,NA,NA,NA,NA,""574441"",""2136153"",""1203669"",""811316"",""738870"",""463279"",""458668"",NA,NA,""962108"",""971907"",""904145"",""852423"",""494393"",""1283864"",""1025229"",""1221377"",""847208"""
"1427.7283,""17331618"",""13336742"",""16006804"",""4439038"",NA,NA,""20305678"",""11263544"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""8351801"",""40087356"",""23491230"",""12138016"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""12171474"",""21653588"",""20550780"",""21537602"",NA,NA,NA,NA,NA,NA,""10949907"",""22869042"",NA,""22262952"",""17496926"",""10930748"",""7540614"",""4817038"",""6551852"",""20049784"",""19861572"",""15874206"",""9017588"",""9973187"",""29278248"",""25502878"",""27255616"",""10391409"""
"1435.68269,""6464322"",""4935592"",""5949101"",NA,NA,NA,""3480383"",""1737583"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1942504"",NA,""13240032"",""2887259"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3941085"",""11546148"",""11143650"",""10798608"",""497577"",NA,""689152"",NA,NA,NA,""4430624"",""18706836"",""5584127"",""7748914"",""6491623"",""3892536"",NA,""1230957"",""2085526"",""8098750"",""7689258"",""6077115"",NA,NA,""13284473"",""12066845"",""13401249"",""2709138"""
"1453.69769,NA,NA,NA,NA,""1806681"",""1079667"",NA,NA,""1471014"",""1459597"",""2854119"",""2907394"",""1484839"",""1466471"",""2673031"",""2746515"",""1546495"",""1798423"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1459.64666,NA,NA,NA,NA,""6281821"",""3084359"",NA,NA,""4715438"",""5353201"",""8073611"",""8108290"",""6152016"",""5953977"",""5722346"",""5070029"",""5717142"",""4778358"",NA,NA,NA,NA,""6048498"",""6622470"",""2157259"",""2769583"",""4379858"",""4600897"",""10476952"",""8016629"",""5496515"",""5067277"",""5945609"",""3481918"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1459.69383,""3355946"",""2468477"",""3165811"",""640132"",NA,NA,""1974657"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1295455"",NA,""9218084"",""5239691"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2892507"",""9848616"",""9658531"",""9757144"",NA,""592648"",NA,NA,NA,NA,""3860610"",""16355670"",""2482657"",""6948698"",""5680175"",""3422572"",""1811739"",""892289"",""1344060"",""6544796"",""6100721"",""4947093"",""2563308"",""2482285"",""11463254"",""10902839"",""11582621"",""2265693"""
"1465.64514,NA,NA,NA,NA,""6196463"",""3620505"",NA,NA,""7222658"",""8002509"",""8738393"",""8914211"",""7456158"",""7041864"",""7077508"",""6199627"",""7525764"",""5953342"",NA,NA,NA,NA,NA,NA,""150284"",""242573"",""292754"",""379360"",NA,NA,NA,NA,NA,""211285"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1550.70354,NA,NA,NA,NA,""4893506"",""2945096"",NA,NA,""4713421"",""4845128"",""5822109"",""5889372"",""5246617"",""4423004"",""5133323"",""4884283"",""5313915"",""4887330"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""8466526"",""6138713"",""8040251"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1561.79852,""11477449"",""8865923"",""10159733"",""2398931"",NA,NA,""8092500"",""3604641"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""8418022"",""5211572"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""6078860"",""20556448"",""19552518"",""19476928"",NA,NA,NA,NA,NA,NA,""6659521"",""11497272"",NA,""10752205"",""9537754"",""6427955"",""4904735"",NA,""4195350"",""13060934"",""12923591"",""10733112"",""3508492"",""4707766"",""13315690"",""11553178"",""13118536"",""2489963"""
