"","cerf-id79.s1","cerf-id79.s2","cerf","cerf.s1","cerf.s2","cerf.s3","cerf(3).s1","cerf(3).s2","cerf(3).s3","cerfID79","bois de daim","daim_os_long_act7.s1","daim_os_long_act7.s2","daim_os_long_act7.s3","daim_os_long_act8.s1","daim_os_long_act8.s2","daim_os_long_act8.s3","daim","daim.s1","daim.s2","daim.s3","daim1","meagC73","meagC74","meagC75","meagC76","meagC77","meagC79","meagC80"
"Label","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus"
"1875.8944",NA,"580722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"268203","334775","305345",NA,"477771",NA
"1892.92157","10974827","11141541",NA,"168878",NA,NA,"301580",NA,NA,"1320539",NA,"408998","505612","393786","2472557","2407578","1956480",NA,"6808982","7053267","6455683","6808982","4507972","3271686","2931205","3368626","1519716","7489798","4807275"
"1899.99224",NA,NA,"321088",NA,NA,NA,"410815","390725","521834",NA,NA,NA,NA,NA,NA,"167325",NA,NA,NA,NA,NA,NA,"581122","475770","560542",NA,NA,"482194","397975"
"1922.93473",NA,NA,"5051926","16677933","13712035","13875622","2381914","2177499","1847195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927.05062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225345",NA,"239938",NA,NA,"190953","217298"
"1931.96701",NA,NA,"326484","350881","236399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170951",NA,NA,"170951","285592","248425","279380","216982",NA,"464818",NA
"1933.97248","463816",NA,"778223",NA,"450645",NA,NA,"402506","417442",NA,"245952",NA,NA,NA,"390604",NA,"320739",NA,"395461","474545","371905","395461","1086251",NA,"829670","938346","424071","1771900","1378588"
"1958.96952",NA,NA,"2896212","2069932","1696323","1803512","1740678","1583319","1540562",NA,"501322",NA,"514675","374218",NA,"1160228",NA,NA,NA,NA,NA,NA,"3026018","2035866",NA,"2302372","1273069","4442402",NA
"1975.99498","70563848","68152536","37635284","88977632","74615824","80307560","14787739","13983681","12278331","9087504","4195503","3411931","3804551","2787536","14187878","14511054","11623460","6064499","58298788","56560120","53451996","58298788","50355828","26293860","22126360","29178186","15537551","99486576","66737264"
"1991.9935","1525048","1634266",NA,"2330019","2020815","2149201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221910",NA,"213946",NA,NA,NA
"1997.00888","1931776","2373600","3371509","1910330","1748585",NA,NA,NA,"805856","1168275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997.99034",NA,NA,NA,NA,"1879956",NA,"3430607","2945456",NA,NA,NA,NA,NA,NA,NA,"262095","294329",NA,"677735",NA,NA,"677735","10510779","6566082","6364940","6214710","3374475","12709315",NA
"2005.96745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"509046","385314",NA,"433284",NA,"926257","1691686"
"2009.98798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"274742","674841","574369","313543",NA,"489352",NA
"2014.07168",NA,NA,"856132",NA,NA,"376142","813874","673472","715788","336266",NA,"246740","232403",NA,NA,NA,"234950",NA,NA,NA,NA,NA,"1498439","1068050","1053772","1253894","732578","1687449","2052922"
"2014.95868","521418","529371","891155",NA,NA,"822984","254374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"649878",NA
"2015.94222","499153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1595330","1648954","1518080","1595330","621399",NA,NA,"422133",NA,"1322150","3891444"
"2019.97473","2177189","2324001","794850","5991336","5108369","5375462",NA,"249524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1772770","1692441","1528167","1772770",NA,"369885",NA,NA,NA,"733344","3198375"
"2029.98076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"681180",NA,"267258","308582","278704","1039050","4427204"
"2030.06772",NA,NA,"500498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199866","286214",NA,NA,NA,NA,NA,NA,"777184","349669","415417","720398","305701","1035069","812755"
"2038.08349",NA,"904906",NA,"1415619",NA,"1350789","1393880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988366","1354520","1076044",NA,NA,"1396209","1697504"
"2039.06858","458928",NA,"2352004",NA,NA,"923722","1913786",NA,"1920215","873702","695041","542590",NA,NA,"632615","729888","606092",NA,NA,NA,NA,"263394","3202944","2170860","2581291","2707855","1579136","3163983","2398303"
"2039.955","1515214","2138059","2652381","2827746","2385052","2476944",NA,NA,"670011","673185",NA,NA,"359043",NA,"974531","973245","755759","332582",NA,"942646",NA,NA,"1363805","694934","792901",NA,NA,"2181273",NA
"2056.09295","15683575","15926321","27241234","32525876","29777340","30447792","21281282","19701106","17568924","8010716","5262595","4796875","4918117","4104680","8015751","8565247","6877153","1816328","7416905","8254543","7567103","7416905","59843072","35180324","30909056","44701328","31508594","69750048","54386012"
"2056.9792","58259852","58422468","30090068","110679528","93851736","96914104","5829012","5833394","4318543","5539962","2838203","1590672","1606969","1301455","8974491","10753579","7954679","6911941","26821180","27594248","24844614","26821180","12192414","5422322","5094355","5625660",NA,"25230156",NA
"2057.96201",NA,NA,NA,NA,NA,NA,"2541541","2622276","2131088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14334633",NA,NA,"9670738",NA,"37425796","92569352"
"2065.96768","2391836","2730579",NA,"1218097","1014733","1019828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"476136","500617","407009","476136",NA,NA,NA,NA,NA,NA,NA
"2072.09042","9548642","9123107","11805891","17762468","14362410","15512870","7457813","6441488","5640319","3019529","946739","1319832","1504592","1046725","6922238","7290569","5473543","594760","3298293","3311435","2857596","3298293","19554752","12639951","10994151","16340129","6736659","33288190","11667728"
"2073.01421","6836458","6612396","3982538","19674698","15437457","16807244","1276902",NA,"791814","470138","563189","507377","569009",NA,"947161","1086002","791929","3575161","7675047","8699901","7157060","7675047","1013961",NA,NA,NA,NA,"2066207",NA
"2073.99579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1668047","969612",NA,"927268","539382","3552516","10364344"
"2074.98026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"680635",NA,"268139","524698",NA,"1597091",NA
"2078.07696",NA,NA,"1929882","934983","504397","791249",NA,NA,NA,NA,NA,NA,NA,NA,"230759",NA,NA,NA,NA,NA,NA,NA,"1752484","647111","1138840","713738","599394","762862","643063"
"2088.08533",NA,NA,"388596","549532",NA,"656189","271492","204075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"441164"
"2089.00771","16645536","16599479","4940899","35441468","31177140","30482490","1639550","1508780","988579","740049","459563","221822",NA,NA,"1301070","1284571",NA,"2838855","7439133","8049383","6896180","7439133",NA,NA,NA,NA,NA,NA,NA
"2094.03179","3713272","3764805",NA,"2023690","1544775",NA,NA,NA,NA,"371412",NA,NA,NA,NA,NA,NA,NA,NA,"944325","1038979","905491","944325",NA,NA,NA,NA,NA,NA,NA
"2094.06874",NA,NA,"521078",NA,NA,"434790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"529914",NA,"371215","342440","373733","373870",NA
"2095.0142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"418863","157651",NA,"259351",NA,"714099","666668"
"2105.00166","6461538","7084346","1235590","9952628","9397647","9004358","462650",NA,"355469","172041",NA,NA,NA,NA,NA,"526700","416284","656689","1875220","2012168","1782110","1875220",NA,NA,NA,NA,NA,NA,NA
"2105.98296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"290796","307182",NA,"1020951","4972147"
"2110.90101","1045270","1064094",NA,"591660","502921","694639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"481164","619024",NA,NA,NA,NA,NA,NA,NA,NA
"2110.99048","288999",NA,"609830","1165838","1015010","1217610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2115.12151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"288128","416065",NA,"1642601","2047121","1530158",NA,"563981","580050","514548","563981",NA,NA,NA,NA,NA,"650728","2560289"
"2118.0953",NA,NA,"470155","554997","449917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"447172",NA,NA,"228284",NA,"529022","1245130"
"2131.11619","32639042","31566600","12771763","54903776","45329320","46090044","7754514","6934841","5219066","3321842","1532073","1653498","1998673","1370822","4432785","5195992","3650086","6368823","28378994","29049250","24972664","28378994","19138214","9024008","6946263","9404601","4977249","36596912","130596704"
"2146.94047",NA,NA,"360686","440729",NA,NA,"313872",NA,"208844",NA,NA,NA,"278898",NA,NA,"386443","324935",NA,NA,NA,NA,NA,"726311","580424","538844","562781",NA,"1064963",NA
"2147.10903","1020319","1090657",NA,"1433033","1395880","1376292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136189",NA,NA,NA,NA,NA,NA,"3091284"
"2150.96908","1772061","2073593",NA,"1787021","1575366","1593901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1008900","1099070","708239","1008900",NA,NA,NA,NA,NA,NA,NA
"2151.03128","2056443","2174661","659231","2666361","2759426","2313819",NA,NA,NA,NA,"219385",NA,NA,NA,NA,NA,NA,"1659379","1322439","1646435","1182343","1322439","392350",NA,NA,NA,NA,"571596","14792945"
"2153.09528","283734",NA,"1557979","1589139","1574951","1548249",NA,NA,NA,NA,NA,NA,NA,NA,"232052",NA,NA,NA,"673353","821811","770921","673353","1230522","428139","626774","499693","312971","733633","1699607"
"2198.97367","1479123","1731953","2658795","16705216","15590098","14190618","2082870","1952894","1282244",NA,NA,NA,NA,NA,NA,NA,NA,"756193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214.97039","34135828","37294176","2291147","36536208","35190776","29206508",NA,NA,NA,"450900","154683",NA,NA,NA,"299208","256601",NA,"2993615","15452279","17631374","14100581","15452279",NA,NA,NA,NA,NA,NA,NA
"2216.0592","44268984","52406600","15929999","133948824","117992368","113885424","4673652","4040413","3179073","2044448","1190283","561847","630311","474487","2484808","3367075","2061254","7361284","26348650","29806978","25468472","26348650","9415207","5047226","4953394","6028196","2792836","26457226","83047088"
"2230.96688","2815175","3056043",NA,"1502506","1286327","1224922",NA,NA,NA,NA,NA,"325345","427651","235945","1640243","2399591","1509127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2232.05659","5348483","6241509","3014375","13467492","11681961","11217161","697116","672783","484216","331277","216155",NA,NA,NA,"861507","1099015","766633","1297217","4602586","5405035",NA,"4602586","2269865","641667","412689","801572","515955","3488733","16507251"
"2256.04984",NA,NA,NA,NA,"717026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3571785","2054177","1708147","2423620","1100500","6276778","8582947"
"2265.05348",NA,NA,NA,"627547","522411","512282",NA,"422960",NA,NA,NA,NA,NA,NA,NA,"243181",NA,NA,NA,NA,NA,NA,"891197","914410",NA,NA,NA,"1399508","942064"
"2272.0465",NA,NA,NA,"685109","709227","762472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"959145","482870",NA,"629088",NA,"1770175","3758456"
"2283.06646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"339735",NA,NA,"328126",NA,NA,NA,NA,"349284","247782","320316",NA,NA,"358300",NA
"2293.12606","6026479","6448077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"210733",NA,"216664","751125","3219327","3544167","3407930","3219327",NA,NA,NA,NA,NA,NA,NA
"2307.14014","7579078","8611615","585601","11288600","10148646","9916347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1449253","3852308","4291204","3973200","3852308",NA,NA,NA,NA,NA,"1468065",NA
"2316.05004","2734155","3268815",NA,"4304663","4092290","3769302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1454038","4092169","3932086","3514458","4092169",NA,NA,NA,NA,NA,NA,NA
"2323.1326","1343780","1346626",NA,"2174113","1935402","1850588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"675995",NA,"579433","675995",NA,NA,NA,NA,NA,NA,NA
"2329.11622",NA,NA,"1849830","2019637","1766466","2298628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"840581",NA,"445420","412570","342930",NA,NA
"2336.20565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"586130",NA,NA,"268146","239211","694490",NA
"2348.08728","1768918","2129200","1334481","2664331","2233616","2395237",NA,NA,NA,NA,NA,NA,NA,NA,"270949",NA,NA,"517874","19544292","20046520","18575646","19544292","1480209","834381","708244","849863","401592","2330484","2223456"
"2348.15764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"283941",NA,NA,"337150","230751","1159056","357957"
"2364.08575","3760414","4410195","1720759","5564783","4802754","4544955","357762",NA,"231771","398327",NA,NA,NA,NA,"438653",NA,NA,"473330","17698548","18533176","16547190","17698548","1922152","842433","888292","977114",NA,"2782451","2150152"
"2368.13263","1711922","1998357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1285729","1643732","1086339","292105","1805733","2013894","1792817","1805733","2174969",NA,NA,NA,NA,NA,NA
"2369.11348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2332042","1340844",NA,"1849985","687816","4987733","6366606"
"2390.17991",NA,NA,NA,NA,NA,NA,"296608","327041",NA,NA,NA,NA,NA,NA,NA,"334430","308513",NA,NA,NA,NA,NA,"1486512","1621218","1009084","1324564","703031","3583822",NA
"2410.13918",NA,NA,"1863130","4411926","3576310","3757125",NA,"852680","613974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2424.09404","1932424","2024332",NA,"2162535","2091249","1850824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"604190","728225","719537","604190",NA,NA,NA,NA,NA,NA,NA
"2471.2188",NA,NA,"864756","3482919","2914296","3169218","303574","275244","197020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2477.14757","3335230","3715919",NA,"1163340","1091673",NA,NA,NA,NA,"523839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2481.20968",NA,NA,"1382311","4132614","3550045","3776043",NA,"504160",NA,NA,NA,NA,NA,NA,"690198",NA,NA,NA,"8835156","8360039","7846254","8835156","1140361",NA,NA,"733684",NA,"2902343","2962146"
"2485.22953","8688244","9235023",NA,NA,NA,NA,NA,NA,NA,"692221",NA,"355096",NA,NA,"1674689","1921694","1582965","862230","26753584","25675862","24599508","26753584","4918704","3217426","2343721","3026666","1762690","10980827","6896883"
"2487.21033",NA,NA,"2087101","11482160","8886473","9416921","776296","697653","489017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2497.20643","8189119","8595959","3895264","17704010","14572059","14993237","1396254","1396546","1057747",NA,NA,NA,NA,NA,"1052280","1426212","1053080","893199","6672632","6656955","6232376","6672632","2779449","1424189","823321","1296455","671901","6730068","8592253"
"2501.22664","4637628","4641404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"547829",NA,"491926",NA,"6625879","5184547","4771173","6625879","1597824",NA,"697662",NA,NA,"2757026","2076744"
"2513.20309","12096231","13284801","2958125","21640356","16773729","17473292","984629","1173898","795510",NA,NA,NA,NA,NA,"1064081","1399650","917263",NA,"4905284","5281665",NA,"4905284","2353693","1087107","758107","1011985","624676","5844848","7622322"
"2529.20358","577425","714320",NA,"1278997","907013","981225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2548.21224","4021711","4333068",NA,"7220018","6098044","6280541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"489351","2490245","2652050","2420021","2490245","221256",NA,NA,NA,NA,NA,NA
"2550.21403",NA,NA,"2445986",NA,NA,NA,"4577255","3991378","3194473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1594668","684356","1191341",NA,"495969",NA,NA
"2566.20739","7165030","7706645","2800236","6939688","5381831","5993708",NA,"510294",NA,NA,NA,NA,NA,NA,"486402",NA,"593125",NA,"3729961","3992991","3876856","3729961","6178353","3554172","2463354","4120789","1968027","13060466",NA
"2581.23478","3483756",NA,NA,NA,NA,"10641648","1892717","1775041","1401220","685602",NA,NA,NA,NA,NA,NA,NA,"1027359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2582.21241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1940373",NA,NA,NA,NA,NA,NA,NA,"7862478","3429025","2652717",NA,"2178701","16035601",NA
"2589.25655","1245550","1273818",NA,"1552959","1539748","1311666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"422364","537366",NA,"422364",NA,NA,NA,"156829",NA,"600868","1460706"
"2607.29228","1347041","1576234",NA,"1135972","1145725","1048871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"484277","589488","561207","484277",NA,NA,NA,NA,NA,NA,NA
"2610.16825","614188","764757",NA,NA,NA,NA,NA,NA,NA,NA,NA,"872163","1040365","700612","515107",NA,"456159",NA,"905274","787329","808984","905274",NA,NA,NA,NA,NA,NA,NA
"2610.21446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"760793","491189","2611409","953019"
"2634.30847","334127",NA,"280328","554309","448388","412629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212105",NA,NA,NA,NA,NA,NA,NA,NA
"2675.24987","260197",NA,"1036122","1084304","769810","934622","474261",NA,NA,NA,NA,NA,NA,NA,NA,NA,"394061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2689.25925","978809","1176403","3968791","4656014","4107129","4446983","2577349","2445302","1802830","650797","1934673","2719512","2955179","2222180","3659837","3938785","3232725","1483233","10918245","10775959","10981669","10918245",NA,NA,"1313336",NA,NA,NA,NA
"2705.25213",NA,"26605774","53798636",NA,NA,NA,"20064310","18091310","12768740","8854173","5887805","5690006","6120224","4776241","23233030","28685970","22479984","7272275","99001312","93455968","92292360","99001312","21804378","8631108","9379506","7504115","5512515",NA,NA
"2706.2341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20241354","8178770","7475616","9217526","5206873","29264068","7508559"
"2707.214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3263789","1387277","1658128","2939587","1419479","6655332",NA
"2719.23408","14943904","14861784","7484987","22427176","17767214","21156894","2473514","2219401","1498644","1140605",NA,NA,"299417",NA,"4076633","5451103","4078709","551874",NA,"6200942","5766765","5732889",NA,NA,NA,NA,NA,"5650027",NA
"2720.21314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3583136","1669368",NA,"2115254","994884","8311380","7800177"
"2725.28937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"992665","407372",NA,"635744",NA,"2080813","1059124"
"2727.23878",NA,NA,"6266717","2519078","1925385","2800629",NA,NA,NA,"254047",NA,NA,"317501",NA,"1536233","1098433","1039388",NA,"1313679","2307439","2281171","1313679","1624117",NA,"1023080",NA,NA,NA,NA
"2742.25916","836339","826441","2372781","2887434","2350533","2858791",NA,NA,NA,NA,NA,NA,NA,NA,"561356",NA,"447514",NA,"709347","761647","684754","709347",NA,NA,NA,NA,NA,NA,NA
"2743.28867",NA,NA,"2451511",NA,NA,"2240416","4275750",NA,"2783531","372921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1294661",NA,NA,NA,NA
"2744.27044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2092881","1139205",NA,"934290","976720","2985981",NA
"2750.28888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2993800","1535556","1442184","1753163","695560","5690832","1525544"
"2751.39432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2691240","1248360","1351674","2183065","931519","3692738",NA
"2759.28684","3640848","3553307","7856447","10175907","7459936","9086428",NA,"5373032","4217166","1615253",NA,NA,NA,NA,"2171991","2413624","1776313",NA,"3358519","3647181","3418682","3358519",NA,"2961492","2592770",NA,"1306311",NA,NA
"2763.32333",NA,NA,"2843906","2655300","2023942","2349037","1715698","1532608","1070505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2767.32008","20200908","20643096",NA,NA,NA,NA,NA,NA,NA,"3985084","1125580","1049629","1187917",NA,"9737191","13510651","8763522","1520018","22846560","24378500","22373792","22846560","48124988","19765154","15181303","21764156","9828358","110895384","27287780"
"2775.28159","5514925","5572128","4794752","9049034","6776018","8318212",NA,"960993",NA,"1793481",NA,"504760","532126","654375","6322277","8104880","5850958",NA,"2722695","3462705","3049493","2722695","4750093","2356672","1535201",NA,"925618","1309482",NA
"2776.26141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1065471","771637","2114874",NA,"7144051","459280"
"2781.3368",NA,NA,"30778614","45463848","31693760","39375616","9230100","7307498","5515620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2783.31227",NA,"1059049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"680114",NA,NA,"358968",NA,"1613444","1117709"
"2789.30182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2036381","696379","835603",NA,NA,"1614546",NA
"2792.32782","14049629","14028837","13293297","20290150","16576953","19129452","4729452","4023319","2967872","3199443","1555216","821849","901446",NA,"5605848","7316754","4867644","2314528","6905224","7351042","7189589","6905224","6537287","2676630","2599559",NA,NA,"5364744",NA
"2794.3989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2363857","1470510","1743432","2008124","1204359","1904905",NA
"2808.32295","644582","536530",NA,"728714","554125","787021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2839.3922","302491","386543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"549326","379440","274644","485759",NA,"1233184","552158"
"2853.40991",NA,NA,"14088897","49249716","43552488","47782456","8466404","8061260","5609148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2869.40786",NA,NA,"2907305","6233859","5551148","6346534","1181928","1192767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2883.42332","34837572","33862460",NA,NA,NA,NA,"932957",NA,"577660","4001737","693881","1267968","1272150","991026","10562374","12934117","9231750","2581653","17976192","17960638","17694296","17976192","32155342","16102539","11164546","18501996","9846481","103752336","34261080"
"2889.35276","645647","803923","663825",NA,"395631",NA,NA,NA,NA,"1287808","500768","1251423","1293963","999625","1674098","1656910","1451181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2899.4215","5307333","5876525",NA,NA,NA,NA,NA,NA,NA,"625938",NA,NA,NA,NA,"3628537","4343348","3138840",NA,"2968785","3020886","2713085","2968785","5685724","1965702","1078633","2144868","1110503","10976243","7880551"
"2905.40795",NA,"250112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"867461","442822",NA,NA,NA,NA,NA,NA,"2743740",NA,"1304389","1125343","606223",NA,NA
"2926.43238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"537126","611867","501668",NA,NA,NA,NA,NA,"900003","342973","285750","408997","237653","957879",NA
"2930.34031","1084146","1180680","994126","1598609","1066825","1253274",NA,NA,NA,"280555",NA,NA,NA,NA,NA,NA,NA,NA,"578752","541029",NA,"578752","1592517","656992",NA,"668568","368052","2545132",NA
"2946.3359","1403219","1480192","485895","1150185",NA,"1092761",NA,NA,NA,NA,NA,NA,NA,NA,"687679",NA,"752285",NA,"382915",NA,NA,"382915","1020096","462259",NA,"423121",NA,"1901780",NA
"2968.37646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1925354","981816","1029488","1219580","535077","3731662",NA
"3001.36712","1586834","1575862","2660883","2217269","2230278","2230155","811798",NA,"604822","698135","282362","578283","591494","297169","2829038","3066223","2294863",NA,"6464898","7116174","6917093","6464898",NA,NA,NA,NA,NA,NA,NA
"3009.40279",NA,NA,"1665382","1912198","1601203","1903403","994260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
