,Label,1095.53926,1105.54824,1105.57541,1106.5323,1115.51669,1116.46459,1183.5713,1199.5705,1208.67502,1267.67598,1281.61938,1427.7283,1435.68269,1453.69769,1459.64666,1459.69383,1465.64514,1550.70354,1561.79852,1562.72849,1562.78223,1586.70107,1586.75694,1615.82091,1616.74665,1648.77878,1655.7395,1716.91559,1755.74022,1760.63504,1764.79465,1768.83069,1771.73528,1784.82254,1800.81743,1804.93096,1817.83131,1832.86091,1841.82874,1848.85632,1863.8084,1892.84328,1922.93345,1975.90872,1975.99499,2013.95716,2014.07219,2019.8839,2029.95316,2039.9551,2041.87726,2056.09262,2056.97892,2057.86988,2069.95526,2072.09109,2089.00724,2105.88711,2131.11626,2145.02805,2167.00965,2187.9224,2203.91383,2216.05962,2219.90964,2225.89723,2232.05723,2255.94007,2363.96111,2410.99336,2420.05104,2455.09034,2471.08176,2481.07492,2481.21136,2487.20946,2497.06802,2497.2067,2513.06321,2513.20408,2571.09702,2689.25932,2719.2334,2792.32813,2793.16058,2853.22872,2853.40908,2869.22314,2869.40603,2978.10732,3033.48646,3052.40122,3084.41471,3100.41214,3102.16447,3116.41028,3118.15886,3186.19509,3200.28268,3216.2732,3227.52062,4096.94606
C2-2,Auroch,3248571,6442518,0,7513008,1437327,963087,599236,935234,0,0,0,0,0,1459597,5353201,0,8002509,4845128,0,1696174,2376996,6070326,0,0,1188421,0,6191292,0,2421997,466202,2868461,1146590,3473935,3036087,3097710,0,734121,0,1862262,0,579038,2068114,0,14521942,0,2786597,0,3245037,1976344,0,1558894,0,0,21796982,4872328,0,0,5846429,0,7824945,656069,2926095,18375052,0,957119,950445,0,1592655,1503317,392740,242143,4238660,1417437,733986,0,0,1185467,0,719188,0,1237597,0,0,0,1634377,504043,0,1662035,0,732170,0,0,0,0,1164389,0,677570,666807,742788,578523,0,0
C3-1,Auroch,5271283,9263026,0,0,1243619,1077880,699072,1013917,0,0,0,0,0,2854119,8073611,0,8738393,5822109,0,1915635,3193535,7675613,0,0,1967394,0,7859525,0,4512124,467407,4878730,1927850,4136116,5295702,5038496,0,1172728,0,2520518,0,435107,2915078,0,26009480,0,4592759,0,5456666,3174006,0,2621938,0,0,35920048,4572396,0,0,9039911,0,14571464,639805,3481406,24766426,0,1154143,583185,0,2393437,1583335,796492,380842,5698065,2083427,1173608,0,0,1940715,0,1106497,0,2689566,0,0,0,3475115,1211286,0,3923948,0,1084776,0,0,0,0,2441867,0,1105695,1092398,1373040,966470,0,0
C3-2,Auroch,5896019,9744477,0,1035276,1263431,1108658,742755,1061747,0,0,0,0,0,2907394,8108290,0,8914211,5889372,0,1938349,3088357,7334174,0,0,1990167,0,8003062,0,4462549,542020,5501036,1986079,4566798,5121088,5530488,0,1242420,0,2621429,0,534687,3048985,0,28083398,0,4900208,0,5949875,3379823,0,2509833,0,0,38455152,4409312,0,0,9113401,0,15085162,526314,3594989,25076780,0,1123398,657881,0,2358884,1395543,716674,458041,5292970,1838656,1296969,0,0,1930032,0,1027966,0,2559052,0,0,0,3377806,1497850,0,4686038,0,1301422,0,0,0,0,2561111,0,1083933,1063645,1324481,1138063,0,0
C4-1,Auroch,6759920,5480402,0,6157707,2720519,3113874,802983,1403668,0,0,0,0,0,1484839,6152016,0,7456158,5246617,0,1592445,2661885,7701368,0,0,1383158,0,11895399,0,2926089,1157866,5009499,1260110,5049267,3339431,3785310,0,2336700,0,4170239,0,786309,2017315,0,15896803,0,2590858,0,4504458,1880961,0,1146913,0,0,18090934,3092826,0,0,6709144,0,8600816,513461,2602024,14686343,0,777368,490202,0,2103965,1350406,592257,319898,3120230,1045744,828080,0,0,1254037,0,739324,0,1228767,0,0,0,1357042,614700,0,1922797,0,728581,0,0,0,0,954084,0,589523,531318,589619,508772,0,0
C4-2,Auroch,4122471,3665179,0,4502323,1877780,2474490,662214,1228060,0,0,0,0,0,1466471,5953977,0,7041864,4423004,0,1142734,1801785,5356573,0,0,941182,0,7210435,0,1824871,680530,2845563,674567,2900927,1965846,2384107,0,1473961,0,2696065,0,0,1229494,0,9376874,0,1639138,0,2645266,1008127,0,724176,0,0,10364708,2153902,0,0,3857202,0,5215798,353544,1611615,9043421,0,440916,463165,0,1224343,780865,400177,244817,2114541,685902,616542,0,0,846254,0,615544,0,912700,0,0,0,829718,457511,0,1356864,0,427099,0,0,0,0,455080,0,322908,0,308566,306913,0,0
C5-1,Auroch,9154705,7835541,0,974563,1212083,1402468,622695,905528,0,0,0,0,0,2673031,5722346,0,7077508,5133323,0,2036773,3000793,7243556,0,0,1942888,0,8806981,0,5046982,589353,8923641,2355467,5894670,5800494,5452077,0,1161617,0,2805912,0,328811,3469203,0,36413628,0,6258223,0,6383778,3776721,0,2282073,0,0,32192008,6621738,0,0,7436612,0,15225755,375371,3540779,21463580,0,798914,390995,0,2676394,1768693,767890,385469,5197659,1755110,1284945,0,0,2315431,0,1003307,0,2405903,0,0,0,3412181,1359353,0,4483435,0,1232722,0,0,0,0,2209638,0,1079352,921292,1168966,925670,0,0
C5-2,Auroch,0,7850753,0,7689180,1239331,1409303,562414,893795,0,0,0,0,0,2746515,5070029,0,6199627,4884283,0,1859891,2842050,6662672,0,0,1920796,0,8328096,0,5122116,520421,8899784,2196990,5311910,5798106,5186140,0,1222541,0,2592915,0,270857,3152934,0,37835136,0,7418292,0,6323904,4185532,0,2448065,0,0,31137044,7642213,0,0,6678505,0,16725828,440839,3136546,19788556,0,800239,0,0,2183398,1627297,633861,359709,5110208,1482091,1265634,0,0,2130082,0,1155034,0,2217219,0,0,0,3264714,1683320,0,4790235,0,1227088,0,0,0,0,2185997,0,798399,769076,1133621,826393,0,0
C6-1,Auroch,7442684,4975927,0,5739260,2357005,1818579,692284,958496,0,0,0,0,0,1546495,5717142,0,7525764,5313915,0,0,2508550,7458005,0,0,1590940,0,12028343,0,4848734,684709,7397667,1219741,4820016,3579945,3914638,0,1822740,0,3684826,0,481194,2486486,0,20385154,0,2909380,0,4464851,1816213,0,1311204,0,0,21016768,7721714,0,0,6134132,0,6478897,241856,2089934,14104044,0,602864,418236,0,1917732,2632400,464375,274362,2242422,845158,620289,0,0,1154986,0,623139,0,935049,0,0,0,1686577,996207,0,3061628,0,1059567,0,0,0,0,1308074,0,485858,627224,741653,602354,0,0
C6-2,Auroch,8572558,6074673,0,6453091,2194851,1711096,701733,827049,0,0,0,0,0,1798423,4778358,0,5953342,4887330,0,1435393,2398941,7161086,0,0,1615288,0,10952791,0,5250806,689902,8259400,1588483,5621065,4286617,4230332,0,2082671,0,4144201,0,480546,2989512,0,24478290,0,3734534,0,4656553,2336934,0,1424911,0,0,21771000,9264828,0,0,5680616,0,7922741,230675,2309448,14068769,0,627932,443001,0,1877906,2875693,560847,267732,2729662,958577,772336,0,0,1214268,0,659701,0,1113323,0,0,0,1927989,1078216,0,3493864,0,1055901,0,0,0,0,1532025,0,638331,723872,872160,648303,0,0
C91_aurochs,Auroch,0,0,0,0,0,0,485139,0,438193,613319,0,8351801,1942504,0,0,1295455,0,0,0,0,2362974,0,2305268,0,0,0,0,966988,0,0,0,0,0,0,0,4224640,0,2815046,0,1785353,0,0,424892,0,9105364,0,311679,0,0,0,0,11194449,0,0,0,1888695,0,0,4348531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294740,631668,0,571748,0,169906,0,0,0,0,0,0,0,0,951781,0,0,0,0,0,0,0,0,0,0,0,0,0
C92_aurochs,Auroch,0,0,3851424,0,0,0,566303,0,2055041,2993932,0,40087356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wa12_aurochs,Auroch,0,0,7390224,0,0,0,0,0,1737384,2103070,1269464,23491230,13240032,0,0,9218084,0,0,8418022,0,15999989,0,13286677,0,0,2581104,0,436090,0,0,0,0,0,0,0,13154031,0,8461856,0,3238707,0,0,13042455,0,51418852,1054354,1095890,0,0,0,0,34659044,0,0,0,18775608,0,0,65022064,0,0,0,0,104661536,0,0,8118928,0,0,0,0,0,0,0,2538993,10361321,0,11188828,0,13856832,0,0,0,0,0,0,31721468,0,4343647,0,6165626,0,0,0,0,0,0,0,0,0,966143,0
Wa5_aurochs,Auroch,0,0,4140732,0,0,0,0,0,1737314,803442,140338,12138016,2887259,0,0,5239691,0,0,5211572,0,5166830,0,2283979,525472,0,0,0,227483,0,0,0,0,0,0,0,794735,0,3568248,0,1237975,0,0,4127564,0,37644248,0,512258,0,0,0,0,32064836,0,0,0,9887122,0,0,26156130,0,0,0,0,6616347,0,0,0,0,0,0,0,0,0,0,740424,6544987,0,1999728,0,1710950,0,0,0,0,0,0,11855744,0,3606128,0,2041243,0,0,0,0,0,0,0,0,0,1041241,0
B1-1,Boeuf,1462181,1521279,0,0,1078866,1160491,0,0,0,0,0,0,0,0,6048498,0,0,0,0,1883311,2678968,6843129,0,0,0,8535346,12996901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27871766,0,0,0,13364742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240641,0,0,0,0,0,524842,0,427060,0,645685,592610,0,0,3031902,0,3138006,0,0,0,0,0,0,5014966,0,1260260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-2,Boeuf,7584410,8019843,0,0,1031162,1031226,0,0,0,0,0,0,0,0,6622470,0,0,0,0,1646580,2460759,5949525,0,0,0,6192183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277179,0,0,18427254,0,0,0,10100907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231117,0,0,0,0,0,572799,0,470699,0,678104,804396,0,0,2952854,0,3612605,0,0,0,0,0,0,3181651,0,832218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-1,Boeuf,1363286,2743733,0,0,0,403694,0,0,0,0,0,0,0,0,2157259,0,150284,0,0,847559,0,0,0,0,0,2016022,2798665,0,0,0,0,0,0,0,210225,0,0,0,0,0,143743,0,0,5702448,0,0,0,3771333,0,0,792330,0,0,0,0,0,0,0,0,525807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935349,0,1061365,0,0,0,0,0,0,1298897,0,352692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-2,Boeuf,1931464,3273127,0,0,0,367109,0,0,0,0,0,0,0,0,2769583,0,242573,0,0,0,1536766,2688734,0,0,0,3625014,5106395,0,0,0,0,0,0,0,275007,0,0,0,0,0,0,0,0,9205019,0,0,0,6327877,0,0,1304523,0,0,0,0,0,0,0,0,731859,0,0,383444,0,0,0,0,0,0,0,0,0,0,318242,0,0,1206835,0,1524308,0,0,0,0,0,0,2027723,0,642473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-1,Boeuf,4899033,577586,0,0,963632,2118380,0,0,0,0,0,0,0,0,4379858,0,292754,0,0,0,1525223,4023327,0,0,0,3769073,11668429,0,0,0,0,0,0,0,282302,0,0,0,0,0,224167,0,0,15451267,0,0,0,7655109,0,0,2655364,0,0,0,0,0,0,0,0,399790,0,0,396902,0,0,0,0,0,0,0,295538,0,287405,235176,0,0,1321946,0,1421609,0,0,0,0,0,0,1984025,0,535710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-2,Boeuf,0,3018673,0,0,811432,2045484,0,0,0,0,0,0,0,0,4600897,0,379360,0,0,0,1595783,3831836,0,0,0,3691466,10644324,0,0,0,0,0,0,0,263153,0,0,0,0,0,0,0,0,19357362,0,0,0,7710761,0,0,2639583,0,0,0,0,0,0,362671,0,0,0,0,283240,0,0,0,0,0,0,0,292450,0,275187,281714,0,0,1128123,0,1255140,0,0,0,0,0,0,2571435,0,678980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-1,Boeuf,10040700,1348264,0,0,1900089,1818194,0,0,0,0,0,0,0,0,10476952,0,0,0,0,1880216,3544888,8636243,0,0,0,8143940,19662874,0,0,0,0,0,0,0,0,0,0,0,0,0,369233,0,0,23229140,0,0,0,12593629,0,0,1016813,0,0,0,0,0,0,0,0,0,0,0,267999,0,0,0,0,0,484481,0,329079,0,504108,630910,0,0,2818838,0,3283357,0,0,0,0,0,0,4421410,0,1054263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-2,Boeuf,9014469,1417616,0,0,1413792,1042655,0,0,0,0,0,0,0,0,8016629,0,0,0,0,1859770,3134072,7567359,0,0,0,7984306,17650938,0,0,0,0,0,0,0,0,0,0,0,0,0,377822,0,0,24262654,0,0,0,12376212,0,0,846460,0,0,0,0,0,0,0,0,0,0,0,273625,0,0,0,0,0,477821,0,369524,0,429011,675409,0,0,2806090,0,3286985,0,0,0,0,0,0,5004638,0,1323523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-1,Boeuf,10607235,844456,0,0,915330,0,0,0,0,0,0,0,0,0,5496515,0,0,0,0,1211015,1882358,3719790,0,0,0,4952771,8725505,0,0,0,0,0,0,0,0,0,0,0,0,0,206385,0,0,30596082,0,0,0,14114462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687661,0,1256128,1169387,0,0,5424994,0,5776250,0,0,0,0,0,0,7277166,0,1624573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
